id_retalt;nom_ouv;volume_m3;confinement;annee_construction;classement;departement;surface_m2;surface_sig_m2;altitude_sig_m;type_ouvrage;ce500;ce2000;pe500;pe2000
102;Le Dome;40000;partiel;NA;NA;38;NA;8169;1902;retenue_altitude;0;5082.45073839482;0;11292.8450000314
103;Saint Hilaire;1000;partiel;NA;NA;38;NA;320;994.139011107859;retenue_altitude;612.263705420343;8942.80521642143;0;0
104;Saint Bernard;1200;partiel;NA;NA;38;NA;373;1083.24297575404;retenue_altitude;958.393973419211;6339.3562865061;0;0
105;Grenouillere;45000;total;2011;NA;38;NA;8577;1620;retenue_altitude;1308.62932852954;4539.13972708993;0;9700.13999996412
106;Roche Beranger;91700;total;2021;NA;38;13000;15544;1826.70833333333;retenue_altitude;0;9771.38330029329;0;29273.3399999503
107;Combe Oursiere;26000;total;NA;NA;38;NA;6067;1464.44444444444;retenue_altitude;714.930813013234;3243.48252139287;0;0
108;Herpie;165000;total;2017;NA;38;NA;19881;2733.85714285714;retenue_altitude;1412.50690803129;5983.07934288534;0;142792.820000124
123;Roche Noire;3000;aucun;NA;NA;38;NA;1135;1556;retenue_altitude;0;12222.8968868145;0;0
126;Alpette;100000;aucun;NA;NA;38;NA;17495;2059.66666666667;retenue_altitude;1733.07537704827;12730.7751263527;0;185493.884653254
171;Lac des Pres;73000;partiel;1998;non classe;38;10000;12050;1535.8636363;retenue_altitude;0;1685.79639111212;0;1949.21999999629
173;Gresse;NA;NA;NA;NA;38;NA;4869;NA;retenue_altitude;1143.58500596977;14741.0864915322;0;0
1;Lovatiere;20000;aucun;2002;non classe;73;5500;4577;2123.375;retenue_altitude;1142.7799860375;8634.14538754525;0;0
2;Cesar Durand;162970;total;NA;NA;73;41400;42909;2169.72307692308;retenue_altitude;888.383541067037;12157.5906664405;0;273768.589999891
3;Gros Crey;20355;aucun;1999;NA;73;4350;4836;2105.71428571429;retenue_altitude;0;6471.07570648482;0;0
